date,open,high,low,close,volume
15-09-2005,2.1548,2.1743,2.1274,2.1304,91758000
16-09-2005,2.1349,2.1408,2.1009,2.1349,82234000
19-09-2005,2.1264,2.1663,2.1034,2.1324,68806000
20-09-2005,2.1274,2.1453,2.0835,2.0885,69440000
21-09-2005,2.0875,2.1269,2.0575,2.0575,106276000
22-09-2005,2.0551,2.1084,2.0201,2.0989,116760000
23-09-2005,2.0935,2.1259,2.0725,2.1044,62908000
26-09-2005,2.1174,2.1658,2.1149,2.1618,112328000
27-09-2005,2.1578,2.1812,2.1359,2.1528,83470000
28-09-2005,2.1573,2.1817,2.1443,2.1633,64794000
29-09-2005,2.1638,2.2346,2.1513,2.2341,127856000
30-09-2005,2.2271,2.2865,2.2246,2.2596,121120000
03-10-2005,2.2611,2.3239,2.2526,2.295,116584000
04-10-2005,2.2945,2.3005,2.2197,2.2411,130430000
05-10-2005,2.2401,2.2591,2.1892,2.2192,129054000
06-10-2005,2.2226,2.2351,2.1613,2.1952,123858000
07-10-2005,2.2082,2.2251,2.1638,2.1807,67850000
10-10-2005,2.1857,2.2137,2.1738,2.1827,73606000
11-10-2005,2.1907,2.2107,2.1563,2.1648,106036000
12-10-2005,2.1403,2.1788,2.1169,2.1224,114084000
13-10-2005,2.1164,2.1438,2.09,2.1259,76656000
14-10-2005,2.1448,2.1882,2.1119,2.1842,91552000
17-10-2005,2.1763,2.2456,2.1758,2.2456,104500000
18-10-2005,2.2406,2.2471,2.2097,2.2271,89154000
19-10-2005,2.2216,2.2875,2.2087,2.2875,130570000
20-10-2005,2.2895,2.298,2.2286,2.2451,118584000
21-10-2005,2.278,2.297,2.2521,2.292,92496000
24-10-2005,2.3005,2.3424,2.2875,2.3409,109518000
25-10-2005,2.3384,2.3444,2.2965,2.303,228774000
26-10-2005,2.0451,2.0501,1.9693,1.9827,602094000
27-10-2005,1.9772,1.9902,1.9383,1.9483,175406000
28-10-2005,1.9727,1.9777,1.9313,1.9428,123184000
31-10-2005,1.9628,2.0146,1.9513,1.9882,135612000
01-11-2005,1.9937,2.0321,1.9777,2.0137,107660000
02-11-2005,2.0097,2.0565,1.9852,2.0326,97236000
03-11-2005,2.0396,2.095,2.0376,2.073,140000000
04-11-2005,2.0695,2.085,2.0406,2.0496,88908000
07-11-2005,2.0491,2.0685,2.0226,2.0645,67722000
08-11-2005,2.059,2.1004,2.0466,2.0925,99016000
09-11-2005,2.0845,2.095,2.059,2.065,69432000
10-11-2005,2.0685,2.1174,2.0381,2.1039,111710000
11-11-2005,2.1134,2.1468,2.1074,2.1289,79644000
14-11-2005,2.1209,2.1448,2.1119,2.1214,62062000
15-11-2005,2.2675,2.277,2.2162,2.2172,425558000
16-11-2005,2.2122,2.2645,2.2067,2.2596,159340000
17-11-2005,2.266,2.3324,2.2626,2.3314,233752000
18-11-2005,2.3394,2.3942,2.3274,2.3932,1186656000
21-11-2005,2.3728,2.4097,2.3583,2.3937,357398000
22-11-2005,2.3693,2.4446,2.3613,2.4366,259814000
23-11-2005,2.4262,2.4421,2.3987,2.4062,149664000
25-11-2005,2.3967,2.4182,2.3753,2.3972,53916000
28-11-2005,2.4017,2.4501,2.3753,2.4117,213418000
29-11-2005,2.4097,2.4656,2.4002,2.4217,207688000
30-11-2005,2.4182,2.4282,2.3718,2.4172,158512000
01-12-2005,2.4381,2.4641,2.4257,2.4441,157334000
02-12-2005,2.4401,2.4705,2.4142,2.4471,129032000
05-12-2005,2.4371,2.4616,2.4316,2.4356,105018000
06-12-2005,2.4471,2.489,2.4471,2.4571,191628000
07-12-2005,2.4596,2.4676,2.4087,2.4356,135936000
08-12-2005,2.4356,2.4491,2.3873,2.4117,142880000
09-12-2005,2.4267,2.4461,2.4067,2.4311,94180000
12-12-2005,2.4516,2.4591,2.4262,2.4476,68486000
13-12-2005,2.4212,2.4775,2.4182,2.4691,116256000
14-12-2005,2.4541,2.474,2.4336,2.4646,99318000
15-12-2005,2.4691,2.4915,2.4466,2.4681,116410000
16-12-2005,2.4641,2.49,2.4546,2.4546,112530000
19-12-2005,2.4436,2.494,2.4102,2.4127,166174000
20-12-2005,2.4172,2.4242,2.3783,2.4012,110704000
21-12-2005,2.4087,2.4471,2.3833,2.4426,146450000
22-12-2005,2.4391,2.4581,2.4122,2.4551,88436000
23-12-2005,2.4484,2.4636,2.4301,2.4551,64130000
27-12-2005,2.4391,2.4491,2.4122,2.4222,116374000
28-12-2005,2.4187,2.4217,2.3892,2.3972,90636000
29-12-2005,2.3942,2.4172,2.3927,2.3937,63422000
30-12-2005,2.3808,2.4042,2.3513,2.3518,108022000
03-01-2006,2.3678,2.3868,2.3069,2.3733,151644000
04-01-2006,2.3685,2.3808,2.3289,2.3568,148818000
05-01-2006,2.3523,2.4042,2.3498,2.3768,108344000
06-01-2006,2.3927,2.4232,2.3603,2.3877,123058000
09-01-2006,2.3219,2.3493,2.3144,2.3483,178862000
10-01-2006,2.3194,2.3319,2.2626,2.2771,193722000
11-01-2006,2.277,2.2795,2.2077,2.2411,169944000
12-01-2006,2.2271,2.2491,2.1992,2.2127,116366000
13-01-2006,2.2184,2.2371,2.1947,2.2147,88644000
17-01-2006,2.2007,2.2107,2.1778,2.1947,112620000
18-01-2006,2.1543,2.2241,2.1498,2.2107,174866000
19-01-2006,2.2194,2.2565,2.2097,2.2172,103138000
20-01-2006,2.2062,2.2127,2.1548,2.1907,166148000
23-01-2006,2.2037,2.2321,2.1698,2.1812,115056000
24-01-2006,2.1778,2.2162,2.1658,2.1957,86848000
25-01-2006,2.1972,2.2182,2.1618,2.1748,85742000
26-01-2006,2.1922,2.2336,2.1842,2.2286,97790000
27-01-2006,2.2271,2.2556,2.2212,2.2556,83480000
30-01-2006,2.2685,2.293,2.2316,2.2426,81996000
31-01-2006,2.2446,2.2551,2.2072,2.2356,81120000
01-02-2006,2.1902,2.2291,2.1698,2.1937,150028000
02-02-2006,2.1907,2.1967,1.9852,2.1319,474186000
03-02-2006,1.883,1.9204,1.864,1.9119,670626000
06-02-2006,1.9079,1.9124,1.884,1.8929,170064000
07-02-2006,1.9024,1.9054,1.8555,1.8715,148072000
08-02-2006,1.884,1.9149,1.851,1.9039,150874000
09-02-2006,1.9299,1.9453,1.8919,1.8949,138656000
10-02-2006,1.8919,1.9214,1.864,1.9214,100236000
13-02-2006,1.9099,1.9164,1.872,1.8885,95008000
14-02-2006,1.8904,1.9199,1.8645,1.9079,90284000
15-02-2006,1.9124,1.9593,1.9004,1.9583,138054000
16-02-2006,1.9653,1.9952,1.9368,1.9528,112760000
17-02-2006,1.9438,1.9643,1.9408,1.9548,91636000
21-02-2006,1.9463,1.9508,1.9084,1.9099,101122000
22-02-2006,1.9109,1.9503,1.881,1.9313,147138000
23-02-2006,1.9254,1.9328,1.889,1.8904,185750000
24-02-2006,1.9079,1.9159,1.8885,1.9129,74400000
27-02-2006,1.9199,1.9343,1.8919,1.8959,88982000
28-02-2006,1.8845,1.8999,1.848,1.8675,183018000
01-03-2006,1.867,1.88,1.8381,1.8515,139630000
02-03-2006,1.7782,1.8456,1.7643,1.8396,231674000
03-03-2006,1.8401,1.887,1.8291,1.856,120898000
06-03-2006,1.857,1.8745,1.8341,1.8386,85166000
07-03-2006,1.8376,1.8665,1.8306,1.8421,94446000
08-03-2006,1.8391,1.869,1.8261,1.8361,124732000
09-03-2006,1.8391,1.8436,1.7907,1.8017,144002000
10-03-2006,1.8079,1.8206,1.7827,1.8066,99454000
13-03-2006,1.8101,1.8271,1.7942,1.8052,65562000
14-03-2006,1.7977,1.8456,1.7962,1.8411,83704000
15-03-2006,1.8431,1.8456,1.8171,1.8401,56030000
16-03-2006,1.8456,1.865,1.8326,1.8341,96456000
17-03-2006,1.8331,1.8446,1.7882,1.7952,137724000
20-03-2006,1.7907,1.859,1.7857,1.8071,123416000
21-03-2006,1.8086,1.8321,1.7787,1.7917,133432000
22-03-2006,1.7942,1.8226,1.7852,1.7957,86016000
23-03-2006,1.7907,1.8126,1.7697,1.7797,80718000
24-03-2006,1.7867,1.8017,1.7613,1.7692,73640000
27-03-2006,1.7677,1.7787,1.7527,1.7583,74170000
28-03-2006,1.7568,1.7967,1.7558,1.7802,114544000
29-03-2006,1.7837,1.8361,1.7613,1.8116,143984000
30-03-2006,1.8116,1.8406,1.8047,1.8291,80984000
31-03-2006,1.8306,1.8341,1.8196,1.8221,53180000
03-04-2006,1.8236,1.862,1.8007,1.8027,101080000
04-04-2006,1.8027,1.8505,1.7967,1.8341,74356000
05-04-2006,1.8341,1.8625,1.8091,1.8625,111190000
06-04-2006,1.8575,1.9373,1.852,1.9209,185892000
07-04-2006,1.9259,1.9289,1.8456,1.85,114090000
10-04-2006,1.8565,1.8595,1.8066,1.8261,94950000
11-04-2006,1.8261,1.8331,1.7717,1.7987,132112000
12-04-2006,1.7912,1.8176,1.7912,1.8022,57116000
13-04-2006,1.7907,1.8316,1.7702,1.8266,74304000
17-04-2006,1.8206,1.8266,1.7483,1.7593,88844000
18-04-2006,1.7697,1.8181,1.7558,1.8096,91914000
19-04-2006,1.8002,1.8436,1.7902,1.8401,85610000
20-04-2006,1.8306,1.8555,1.8071,1.8126,107752000
21-04-2006,1.8336,1.8346,1.7817,1.7972,88470000
24-04-2006,1.7957,1.8014,1.7618,1.7852,61752000
25-04-2006,1.7712,1.7842,1.7463,1.7732,255810000
26-04-2006,1.7633,1.8131,1.7533,1.7852,221430000
27-04-2006,1.7697,1.7892,1.7608,1.7827,118650000
28-04-2006,1.7857,1.7902,1.7528,1.7563,69850000
01-05-2006,1.7488,1.7742,1.7179,1.7253,141454000
02-05-2006,1.7333,1.7428,1.7074,1.7149,117140000
03-05-2006,1.7154,1.7154,1.6715,1.6939,151718000
