date,open,high,low,close,volume
31-08-2005,3.0657,3.0914,3.0143,3.08,5308100
01-09-2005,3.08,3.1071,3.0586,3.0643,4910500
02-09-2005,3.1271,3.13,3.0357,3.0771,4489800
06-09-2005,3.0771,3.2743,3.0643,3.2514,7956900
07-09-2005,3.25,3.2829,3.2043,3.2271,8136100
08-09-2005,3.2371,3.48,3.2157,3.4414,21770700
09-09-2005,3.4743,3.5786,3.443,3.5671,13586300
12-09-2005,3.5971,3.64,3.5029,3.6014,9025800
13-09-2005,3.6157,3.6286,3.4714,3.4814,9099300
14-09-2005,3.4857,3.4943,3.3671,3.3814,9182600
15-09-2005,3.3829,3.4186,3.3071,3.3457,7121100
16-09-2005,3.36,3.4657,3.3529,3.4571,6596800
19-09-2005,3.4786,3.4814,3.2857,3.3243,8695400
20-09-2005,3.3314,3.4171,3.2771,3.3114,5987100
21-09-2005,3.3143,3.3486,3.2186,3.2386,5562900
22-09-2005,3.2286,3.3929,3.2143,3.3743,4533900
23-09-2005,3.38,3.4886,3.2986,3.4529,6043800
26-09-2005,3.4457,3.4543,3.35,3.4243,7032200
27-09-2005,3.57,3.5771,3.4714,3.4714,11167800
28-09-2005,3.5057,3.5157,3.4386,3.4629,4458300
29-09-2005,3.5243,3.5629,3.4757,3.4857,9803500
30-09-2005,3.5114,3.8071,3.4871,3.7129,24979500
03-10-2005,3.7114,3.8243,3.7071,3.8057,9156000
04-10-2005,3.8657,3.9914,3.8386,3.8557,14857500
05-10-2005,3.8171,3.8214,3.6957,3.7129,10733100
06-10-2005,3.6857,3.7483,3.6229,3.6686,6325200
07-10-2005,3.73,3.9714,3.7057,3.8929,13792100
10-10-2005,3.9143,4.1414,3.9029,4.0986,17168200
11-10-2005,4.1429,4.1786,3.9657,4.03,13190800
12-10-2005,4.0243,4.1071,3.86,3.93,8039500
13-10-2005,3.9343,4,3.8343,3.9857,7622300
14-10-2005,4.0571,4.1114,3.9143,4.1086,6227900
17-10-2005,4.1143,4.1714,4.0357,4.1571,5894000
18-10-2005,4.1714,4.2129,3.91,3.9214,10773000
19-10-2005,3.8729,4.0714,3.8086,4.05,12467700
20-10-2005,3.8929,3.9571,3.6543,3.6614,23018100
21-10-2005,3.7014,3.7943,3.7,3.7357,12789000
24-10-2005,3.7829,3.8929,3.75,3.8529,13588400
25-10-2005,3.8421,3.9457,3.8257,3.9157,7154000
26-10-2005,3.8857,3.9143,3.4014,3.5686,24405500
27-10-2005,3.6743,3.7429,3.5329,3.7,19790400
28-10-2005,3.7329,3.7871,3.63,3.7543,11067000
31-10-2005,3.6786,3.8043,3.6571,3.7729,9705500
01-11-2005,3.72,3.7857,3.6586,3.6686,7213500
02-11-2005,3.6329,3.9043,3.6329,3.8743,12686100
03-11-2005,3.9129,4.0229,3.7614,3.8686,29425200
04-11-2005,3.8714,3.9643,3.8457,3.9414,7023800
07-11-2005,3.9557,3.99,3.9243,3.9729,4860800
08-11-2005,4,4.1857,3.9929,4.08,15790600
09-11-2005,4.0857,4.1,3.9757,4.0214,7617400
10-11-2005,4.2143,4.3214,4.1914,4.2214,25069800
11-11-2005,4.2114,4.2971,4.14,4.2957,8765400
14-11-2005,4.3,4.3,4.1157,4.1457,6177500
15-11-2005,4.1357,4.1429,3.98,3.9929,8719900
16-11-2005,4.0043,4.0486,3.89,3.9629,8299900
17-11-2005,3.9786,4.1214,3.97,4.1071,6850200
18-11-2005,4.1414,4.1786,3.9571,4.06,8668800
21-11-2005,4.04,4.1372,3.9714,4.1014,6076700
22-11-2005,4.0657,4.2129,4.0643,4.1714,4934300
23-11-2005,4.1457,4.2229,4.1386,4.1457,6227900
25-11-2005,4.1457,4.1843,4.1271,4.1786,1493800
28-11-2005,4.0714,4.0857,3.9286,3.94,10572800
29-11-2005,3.9314,4,3.8157,3.8571,6437200
30-11-2005,3.8614,3.9857,3.8486,3.9343,6079500
01-12-2005,3.9636,3.9771,3.8643,3.8729,4576600
02-12-2005,3.86,3.9686,3.8571,3.9557,5601400
05-12-2005,3.9286,3.99,3.9071,3.9571,4130700
06-12-2005,3.9571,4.01,3.9447,3.9643,4062800
07-12-2005,3.9614,4.0071,3.8857,3.9114,3868900
08-12-2005,3.8914,3.9357,3.89,3.9286,3061800
09-12-2005,3.8971,3.9357,3.6543,3.6771,12957000
12-12-2005,3.6786,3.6914,3.4414,3.5857,22176000
13-12-2005,3.4929,3.57,3.4157,3.4357,13146700
14-12-2005,3.4543,3.5143,3.22,3.49,27002500
15-12-2005,3.5714,3.71,3.4743,3.7057,21862400
16-12-2005,3.735,3.8629,3.7171,3.7571,19579000
19-12-2005,3.7671,3.7671,3.6429,3.66,10205300
20-12-2005,3.6571,3.6814,3.5671,3.5871,5735800
21-12-2005,3.7764,3.9371,3.74,3.9129,22873200
22-12-2005,3.9457,3.9643,3.8757,3.9429,6983200
23-12-2005,3.9357,3.9671,3.9157,3.9614,3277400
27-12-2005,3.97,3.9714,3.8043,3.8543,6646500
28-12-2005,3.8614,3.94,3.86,3.8857,4174100
29-12-2005,3.8829,3.9086,3.8486,3.8929,3621800
30-12-2005,3.8671,3.9,3.85,3.8657,3435600
03-01-2006,3.865,3.8743,3.5886,3.7214,15659700
04-01-2006,3.6429,3.68,3.5171,3.5714,15950200
05-01-2006,3.5529,3.5786,3.5357,3.5614,8123500
06-01-2006,3.5593,3.6486,3.5471,3.5757,8539300
09-01-2006,3.5721,3.6071,3.5,3.5714,8081500
10-01-2006,3.5564,3.6357,3.5457,3.6329,7893900
11-01-2006,3.6214,3.6929,3.5357,3.55,8747900
12-01-2006,3.54,3.69,3.5143,3.6743,11428900
13-01-2006,3.6607,3.6971,3.6343,3.6514,6004600
17-01-2006,3.6157,3.7,3.56,3.68,7396200
18-01-2006,3.6443,3.6586,3.5314,3.55,5744900
19-01-2006,3.5486,3.6757,3.5371,3.6314,8390200
20-01-2006,3.55,3.6286,3.3529,3.3529,13645100
23-01-2006,3.3714,3.4343,3.2986,3.3257,9058000
24-01-2006,3.3479,3.5357,3.3479,3.5343,37796500
25-01-2006,4.0829,4.2743,3.9971,4.0843,72373000
26-01-2006,4.0729,4.15,4.0714,4.1429,17522400
27-01-2006,4.0714,4.0857,3.8957,3.9743,20804000
30-01-2006,4.0043,4.0143,3.9129,3.9429,14697900
31-01-2006,3.9143,3.9986,3.8843,3.9357,13813800
01-02-2006,3.9186,3.9286,3.7857,3.8729,11245500
02-02-2006,3.8629,3.9214,3.6743,3.7286,18517800
03-02-2006,3.7143,3.7529,3.6214,3.73,9202900
06-02-2006,3.7214,3.7557,3.6686,3.7543,8971900
07-02-2006,3.77,3.78,3.6786,3.7029,7437500
08-02-2006,3.6957,3.7186,3.5729,3.5914,12098100
09-02-2006,3.5729,3.6103,3.4943,3.5114,10283000
10-02-2006,3.5214,3.6771,3.4843,3.6329,10423700
13-02-2006,3.6371,3.6386,3.5714,3.6043,7714700
14-02-2006,3.5714,3.5857,3.4271,3.5129,11390400
15-02-2006,3.54,3.6071,3.4929,3.5643,9583700
16-02-2006,3.5543,3.6314,3.5543,3.5929,4835600
17-02-2006,3.6057,3.6071,3.5629,3.5686,4440100
21-02-2006,3.6,3.6771,3.5814,3.6771,8024100
22-02-2006,3.6786,3.7929,3.6714,3.7671,8131900
23-02-2006,3.7543,3.7543,3.6,3.6729,8695400
24-02-2006,3.6643,3.7314,3.6429,3.7114,4199300
27-02-2006,3.7486,3.7914,3.7371,3.79,5584600
28-02-2006,3.79,3.84,3.65,3.83,7469000
01-03-2006,3.83,3.8457,3.7129,3.8357,5990600
02-03-2006,3.8071,3.8743,3.7686,3.83,4097800
03-03-2006,3.8,3.8529,3.7886,3.8229,4018700
06-03-2006,3.84,3.84,3.6143,3.66,9734900
07-03-2006,3.6386,3.6943,3.5586,3.6371,6045200
08-03-2006,3.6429,3.6486,3.5729,3.59,4598300
09-03-2006,3.5871,3.6814,3.58,3.6071,5110000
10-03-2006,3.5871,3.6857,3.5214,3.65,7047600
13-03-2006,3.6029,3.6371,3.5744,3.5857,6333600
14-03-2006,3.5786,3.6586,3.5543,3.6314,3805200
15-03-2006,3.6029,3.6186,3.5571,3.5871,3675000
16-03-2006,3.5786,3.6643,3.5757,3.6386,3471300
17-03-2006,3.6457,3.7771,3.59,3.7386,9793700
20-03-2006,3.7643,3.95,3.7571,3.8686,9045400
21-03-2006,3.8929,3.9643,3.85,3.8814,5661600
22-03-2006,3.8671,4.0214,3.8643,4.0071,7182000
23-03-2006,4,4.0929,3.9286,4.0414,7041300
24-03-2006,4.0243,4.1,4.0043,4.0957,3467800
27-03-2006,4.0557,4.1571,4.0371,4.1271,5318600
28-03-2006,4.1414,4.1429,3.9357,4.0043,8407700
29-03-2006,4.0186,4.2,3.9929,4.1729,7978600
30-03-2006,4.1586,4.1929,4.0157,4.0914,6499500
31-03-2006,4.0714,4.1586,4.0714,4.1414,3915100
03-04-2006,4.1414,4.1486,3.9971,4.0186,8521800
04-04-2006,4.0071,4.0214,3.8943,3.9157,11986100
05-04-2006,3.85,4.1286,3.8386,4.0943,14086100
06-04-2006,4.0829,4.0886,3.9929,4.0357,6432300
07-04-2006,4.0357,4.16,3.9514,3.9914,4972800
10-04-2006,3.9857,4.0886,3.9657,4.0357,5165300
